Distrito (DT);Designação DT;Concelho (CC);Designação CC;Freguesia (FR);Designação FR;População;Rural;Litorâneo;
'01';Aveiro;'0101';Águeda;'010103';Aguada de Cima;4013;S;;
'01';Aveiro;'0101';Águeda;'010109';Fermentelos;3258;S;;
'01';Aveiro;'0101';Águeda;'010112';Macinhata do Vouga;3406;S;;
'01';Aveiro;'0101';Águeda;'010119';Valongo do Vouga;4877;S;;
'01';Aveiro;'0101';Águeda;'010121';União das freguesias de Águeda e Borralha;13576;S;;
'01';Aveiro;'0101';Águeda;'010122';União das freguesias de Barrô e Aguada de Baixo;3209;S;;
'01';Aveiro;'0101';Águeda;'010123';União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão;1611;S;;
'01';Aveiro;'0101';Águeda;'010124';União das freguesias de Recardães e Espinhel;6036;S;;
'01';Aveiro;'0101';Águeda;'010125';União das freguesias de Travassô e Óis da Ribeira;2305;S;;
'01';Aveiro;'0101';Águeda;'010126';União das freguesias de Trofa, Segadães e Lamas do Vouga;4630;S;;
'01';Aveiro;'0101';Águeda;'010127';União das freguesias do Préstimo e Macieira de Alcoba;808;S;;
'01';Aveiro;'0102';Albergaria-a-Velha;'010202';Alquerubim;2381;S;;
'01';Aveiro;'0102';Albergaria-a-Velha;'010203';Angeja;2073;S;;
'01';Aveiro;'0102';Albergaria-a-Velha;'010204';Branca;5621;S;;
'01';Aveiro;'0102';Albergaria-a-Velha;'010206';Ribeira de Fráguas;1713;S;;
'01';Aveiro;'0102';Albergaria-a-Velha;'010209';Albergaria-a-Velha e Valmaior;10568;S;;
'01';Aveiro;'0102';Albergaria-a-Velha;'010210';São João de Loure e Frossos;2896;S;;
'01';Aveiro;'0103';Anadia;'010304';Avelãs de Caminho;1252;S;;
'01';Aveiro;'0103';Anadia;'010305';Avelãs de Cima;2185;S;;
'01';Aveiro;'0103';Anadia;'010307';Moita;2484;S;;
'01';Aveiro;'0103';Anadia;'010309';Sangalhos;4068;S;;
'01';Aveiro;'0103';Anadia;'010310';São Lourenço do Bairro;2414;S;;
'01';Aveiro;'0103';Anadia;'010312';Vila Nova de Monsarros;1713;S;;
'01';Aveiro;'0103';Anadia;'010313';Vilarinho do Bairro;2764;S;;
'01';Aveiro;'0103';Anadia;'010316';União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas;2675;S;;
'01';Aveiro;'0103';Anadia;'010317';União das freguesias de Arcos e Mogofores;6331;S;;
'01';Aveiro;'0103';Anadia;'010318';União das freguesias de Tamengos, Aguim e Óis do Bairro;3264;S;;
'01';Aveiro;'0104';Arouca;'010402';Alvarenga;1223;S;;
'01';Aveiro;'0104';Arouca;'010407';Chave;1253;S;;
'01';Aveiro;'0104';Arouca;'010409';Escariz;2222;S;;
'01';Aveiro;'0104';Arouca;'010411';Fermedo;1340;S;;
'01';Aveiro;'0104';Arouca;'010413';Mansores;1081;S;;
'01';Aveiro;'0104';Arouca;'010414';Moldes;1257;S;;
'01';Aveiro;'0104';Arouca;'010415';Rossas;1599;S;;
'01';Aveiro;'0104';Arouca;'010416';Santa Eulália;2253;S;;
'01';Aveiro;'0104';Arouca;'010417';São Miguel do Mato;598;S;;
'01';Aveiro;'0104';Arouca;'010418';Tropeço;1150;S;;
'01';Aveiro;'0104';Arouca;'010419';Urrô;1029;S;;
'01';Aveiro;'0104';Arouca;'010420';Várzea;540;S;;
'01';Aveiro;'0104';Arouca;'010421';União das freguesias de Arouca e Burgo;5178;S;;
'01';Aveiro;'0104';Arouca;'010422';União das freguesias de Cabreiros e Albergaria da Serra;231;S;;
'01';Aveiro;'0104';Arouca;'010423';União das freguesias de Canelas e Espiunca;1183;S;;
'01';Aveiro;'0104';Arouca;'010424';União das freguesias de Covelo de Paivó e Janarde;222;S;;
'01';Aveiro;'0105';Aveiro;'010501';Aradas;9157;;;
'01';Aveiro;'0105';Aveiro;'010502';Cacia;7354;;;
'01';Aveiro;'0105';Aveiro;'010505';Esgueira;13431;;;
'01';Aveiro;'0105';Aveiro;'010508';Oliveirinha;4817;;;
'01';Aveiro;'0105';Aveiro;'010510';São Bernardo;4960;;;
'01';Aveiro;'0105';Aveiro;'010511';São Jacinto;993;;S;
'01';Aveiro;'0105';Aveiro;'010513';Santa Joana;8094;;;
'01';Aveiro;'0105';Aveiro;'010515';Eixo e Eirol;6324;;;
'01';Aveiro;'0105';Aveiro;'010516';Requeixo, Nossa Senhora de Fátima e Nariz;4564;;;
'01';Aveiro;'0105';Aveiro;'010517';União das freguesias de Glória e Vera Cruz;18756;;;
'01';Aveiro;'0106';Castelo de Paiva;'010602';Fornos;1439;S;;
'01';Aveiro;'0106';Castelo de Paiva;'010606';Real;1300;S;;
'01';Aveiro;'0106';Castelo de Paiva;'010607';Santa Maria de Sardoura;2538;S;;
'01';Aveiro;'0106';Castelo de Paiva;'010608';São Martinho de Sardoura;1931;S;;
'01';Aveiro;'0106';Castelo de Paiva;'010610';União das freguesias de Raiva, Pedorido e Paraíso;4694;S;;
'01';Aveiro;'0106';Castelo de Paiva;'010611';União das freguesias de Sobrado e Bairros;4831;S;;
'01';Aveiro;'0107';Espinho;'010702';Espinho;9832;;S;
'01';Aveiro;'0107';Espinho;'010704';Paramos;3515;;S;
'01';Aveiro;'0107';Espinho;'010705';Silvalde;6673;;S;
'01';Aveiro;'0107';Espinho;'010706';União das freguesias de Anta e Guetim;11766;;;
'01';Aveiro;'0108';Estarreja;'010801';Avanca;6189;S;;
'01';Aveiro;'0108';Estarreja;'010805';Pardilhó;4176;S;;
'01';Aveiro;'0108';Estarreja;'010806';Salreu;3815;S;;
'01';Aveiro;'0108';Estarreja;'010808';União das freguesias de Beduído e Veiros;10047;S;;
'01';Aveiro;'0108';Estarreja;'010809';União das freguesias de Canelas e Fermelã;2770;S;;
'01';Aveiro;'0110';Ílhavo;'011005';Gafanha da Encarnação;5362;;S;
'01';Aveiro;'0110';Ílhavo;'011006';Gafanha da Nazaré;15240;;S;
'01';Aveiro;'0110';Ílhavo;'011007';Gafanha do Carmo;1526;;S;
'01';Aveiro;'0110';Ílhavo;'011008';Ílhavo (São Salvador);16470;;;
'01';Aveiro;'0111';Mealhada;'011102';Barcouço;2152;S;;
'01';Aveiro;'0111';Mealhada;'011103';Casal Comba;3183;S;;
'01';Aveiro;'0111';Mealhada;'011104';Luso;2593;S;;
'01';Aveiro;'0111';Mealhada;'011106';Pampilhosa;4098;S;;
'01';Aveiro;'0111';Mealhada;'011107';Vacariça;1945;S;;
'01';Aveiro;'0111';Mealhada;'011109';União das freguesias da Mealhada, Ventosa do Bairro e Antes;6457;S;;
'01';Aveiro;'0112';Murtosa;'011201';Bunheiro;2682;;;
'01';Aveiro;'0112';Murtosa;'011202';Monte;1459;;;
'01';Aveiro;'0112';Murtosa;'011203';Murtosa;3699;;;
'01';Aveiro;'0112';Murtosa;'011204';Torreira;2745;;S;
'01';Aveiro;'0113';Oliveira de Azeméis;'011301';Carregosa;3419;S;;
'01';Aveiro;'0113';Oliveira de Azeméis;'011302';Cesar;3166;S;;
'01';Aveiro;'0113';Oliveira de Azeméis;'011303';Fajões;3087;S;;
'01';Aveiro;'0113';Oliveira de Azeméis;'011304';Loureiro;3531;S;;
'01';Aveiro;'0113';Oliveira de Azeméis;'011305';Macieira de Sarnes;1925;S;;
'01';Aveiro;'0113';Oliveira de Azeméis;'011310';Ossela;2208;S;;
'01';Aveiro;'0113';Oliveira de Azeméis;'011315';São Martinho da Gândara;1985;S;;
'01';Aveiro;'0113';Oliveira de Azeméis;'011318';São Roque;5228;;;
'01';Aveiro;'0113';Oliveira de Azeméis;'011319';Vila de Cucujães;10705;S;;
'01';Aveiro;'0113';Oliveira de Azeméis;'011320';União das freguesias de Nogueira do Cravo e Pindelo;5390;S;;
'01';Aveiro;'0113';Oliveira de Azeméis;'011321';União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;20760;;;
'01';Aveiro;'0113';Oliveira de Azeméis;'011322';União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;7207;S;;
'01';Aveiro;'0114';Oliveira do Bairro;'011403';Oiã;7722;S;;
'01';Aveiro;'0114';Oliveira do Bairro;'011404';Oliveira do Bairro;6250;S;;
'01';Aveiro;'0114';Oliveira do Bairro;'011405';Palhaça;2627;S;;
'01';Aveiro;'0114';Oliveira do Bairro;'011407';União das freguesias de Bustos, Troviscal e Mamarrosa;6429;S;;
'01';Aveiro;'0115';Ovar;'011502';Cortegaça;3837;S;S;
'01';Aveiro;'0115';Ovar;'011503';Esmoriz;11448;S;S;
'01';Aveiro;'0115';Ovar;'011504';Maceda;3521;S;S;
'01';Aveiro;'0115';Ovar;'011507';Válega;6827;S;;
'01';Aveiro;'0115';Ovar;'011509';União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã;29765;S;S;
'01';Aveiro;'0109';Santa Maria da Feira;'010901';Argoncilhe;8420;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010902';Arrifana;6551;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010904';Escapães;3309;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010907';Fiães;7991;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010908';Fornos;3397;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010913';Lourosa;8636;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010914';Milheirós de Poiares;3791;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010916';Mozelos;7142;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010917';Nogueira da Regedoura;5790;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010918';São Paio de Oleiros;4069;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010919';Paços de Brandão;4867;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010921';Rio Meão;4931;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010922';Romariz;3023;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010924';Sanguedo;3600;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010925';Santa Maria de Lamas;5073;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010926';São João de Ver;10579;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010932';União das freguesias de Caldas de São Jorge e Pigeiros;3897;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010933';União das freguesias de Canedo, Vale e Vila Maior;9455;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010934';União das freguesias de Lobão, Gião, Louredo e Guisande;9860;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010935';União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;18194;;;
'01';Aveiro;'0109';Santa Maria da Feira;'010936';União das freguesias de São Miguel do Souto e Mosteirô;6734;;;
'01';Aveiro;'0116';São João da Madeira;'011601';São João da Madeira;21713;;;
'01';Aveiro;'0117';Sever do Vouga;'011702';Couto de Esteves;890;S;;
'01';Aveiro;'0117';Sever do Vouga;'011704';Pessegueiro do Vouga;1852;S;;
'01';Aveiro;'0117';Sever do Vouga;'011705';Rocas do Vouga;1778;S;;
'01';Aveiro;'0117';Sever do Vouga;'011706';Sever do Vouga;2777;S;;
'01';Aveiro;'0117';Sever do Vouga;'011708';Talhadas;1187;S;;
'01';Aveiro;'0117';Sever do Vouga;'011710';União das freguesias de Cedrim e Paradela;1554;S;;
'01';Aveiro;'0117';Sever do Vouga;'011711';União das freguesias de Silva Escura e Dornelas;2318;S;;
'01';Aveiro;'0118';Vagos;'011801';Calvão;2014;S;;
'01';Aveiro;'0118';Vagos;'011804';Gafanha da Boa Hora;2625;S;S;
'01';Aveiro;'0118';Vagos;'011805';Ouca;1805;S;;
'01';Aveiro;'0118';Vagos;'011807';Sosa;3069;S;;
'01';Aveiro;'0118';Vagos;'011810';Santo André de Vagos;2033;S;;
'01';Aveiro;'0118';Vagos;'011812';União das freguesias de Fonte de Angeão e Covão do Lobo;2165;S;;
'01';Aveiro;'0118';Vagos;'011813';União das freguesias de Ponte de Vagos e Santa Catarina;2781;S;;
'01';Aveiro;'0118';Vagos;'011814';União das freguesias de Vagos e Santo António;6359;S;;
'01';Aveiro;'0119';Vale de Cambra;'011901';Arões;1459;S;;
'01';Aveiro;'0119';Vale de Cambra;'011902';São Pedro de Castelões;7181;S;;
'01';Aveiro;'0119';Vale de Cambra;'011903';Cepelos;1313;S;;
'01';Aveiro;'0119';Vale de Cambra;'011905';Junqueira;1067;S;;
'01';Aveiro;'0119';Vale de Cambra;'011906';Macieira de Cambra;4747;S;;
'01';Aveiro;'0119';Vale de Cambra;'011907';Roge;1752;S;;
'01';Aveiro;'0119';Vale de Cambra;'011910';União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho;5345;S;;
'02';Beja;'0201';Aljustrel;'020102';Ervidel;1005;S;;
'02';Beja;'0201';Aljustrel;'020103';Messejana;892;S;;
'02';Beja;'0201';Aljustrel;'020104';São João de Negrilhos;1482;S;;
'02';Beja;'0201';Aljustrel;'020106';União das freguesias de Aljustrel e Rio de Moinhos;5878;S;;
'02';Beja;'0202';Almodôvar;'020203';Rosário;608;S;;
'02';Beja;'0202';Almodôvar;'020205';Santa Cruz;651;S;;
'02';Beja;'0202';Almodôvar;'020206';São Barnabé;531;S;;
'02';Beja;'0202';Almodôvar;'020208';Aldeia dos Fernandes;536;S;;
